CRIM,INDUS,CHAS,NOX,RM,PTRATIO,B,LSTAT,MEDV
0.00632,2.31,0.0,0.538,6,15.3,396.9,4.98,24.0
0.02731,7.07,0.0,0.469,6,17.8,396.9,9.14,21.6
0.02729,7.07,0.0,0.469,7,17.8,392.83,4.03,34.7
0.03237,2.18,0.0,0.458,6,18.7,394.63,2.94,33.4
0.06905,2.18,0.0,0.458,7,18.7,396.9,5.33,36.2
0.02985,2.18,0.0,0.458,6,18.7,394.12,5.21,28.7
0.08829,7.87,0.0,0.524,6,15.2,395.6,12.43,22.9
0.14455,7.87,0.0,0.524,6,15.2,396.9,19.15,27.1
0.21124,7.87,0.0,0.524,5,15.2,386.63,29.93,16.5
0.17004,7.87,0.0,0.524,6,15.2,386.71,17.1,18.9
0.22489,7.87,0.0,0.524,6,15.2,392.52,20.45,15.0
0.11747,7.87,0.0,0.524,6,15.2,396.9,13.27,18.9
0.09378,7.87,0.0,0.524,5,15.2,390.5,15.71,21.7
0.62976,8.14,0.0,0.538,5,21.0,396.9,8.26,20.4
0.63796,8.14,0.0,0.538,6,21.0,380.02,10.26,18.2
0.62739,8.14,0.0,0.538,5,21.0,395.62,8.47,19.9
1.05393,8.14,0.0,0.538,5,21.0,386.85,6.58,23.1
0.7842,8.14,0.0,0.538,5,21.0,386.75,14.67,17.5
0.80271,8.14,0.0,0.538,5,21.0,288.99,11.69,20.2
0.7258,8.14,0.0,0.538,5,21.0,390.95,11.28,18.2
1.25179,8.14,0.0,0.538,5,21.0,376.57,21.02,13.6
0.85204,8.14,0.0,0.538,5,21.0,392.53,13.83,19.6
1.23247,8.14,0.0,0.538,6,21.0,396.9,18.72,15.2
0.98843,8.14,0.0,0.538,5,21.0,394.54,19.88,14.5
0.75026,8.14,0.0,0.538,5,21.0,394.33,16.3,15.6
0.84054,8.14,0.0,0.538,5,21.0,303.42,16.51,13.9
0.67191,8.14,0.0,0.538,5,21.0,376.88,14.81,16.6
0.95577,8.14,0.0,0.538,6,21.0,306.38,17.28,14.8
0.77299,8.14,0.0,0.538,6,21.0,387.94,12.8,18.4
1.00245,8.14,0.0,0.538,6,21.0,380.23,11.98,21.0
1.13081,8.14,0.0,0.538,5,21.0,360.17,22.6,12.7
1.35472,8.14,0.0,0.538,6,21.0,376.73,13.04,14.5
1.38799,8.14,0.0,0.538,5,21.0,232.6,27.71,13.2
1.15172,8.14,0.0,0.538,5,21.0,358.77,18.35,13.1
1.61282,8.14,0.0,0.538,6,21.0,248.31,20.34,13.5
0.06417,5.96,0.0,0.499,5,19.2,396.9,9.68,18.9
0.09744,5.96,0.0,0.499,5,19.2,377.56,11.41,20.0
0.08014,5.96,0.0,0.499,5,19.2,396.9,8.77,21.0
0.17505,5.96,0.0,0.499,5,19.2,393.43,10.13,24.7
0.02763,2.95,0.0,0.428,6,18.3,395.63,4.32,30.8
0.03359,2.95,0.0,0.428,7,18.3,395.62,1.98,34.9
0.12744,6.91,0.0,0.448,6,17.9,385.41,4.84,26.6
0.1415,6.91,0.0,0.448,6,17.9,383.37,5.81,25.3
0.15936,6.91,0.0,0.448,6,17.9,394.46,7.44,24.7
0.12269,6.91,0.0,0.448,6,17.9,389.39,9.55,21.2
0.17142,6.91,0.0,0.448,5,17.9,396.9,10.21,19.3
0.18836,6.91,0.0,0.448,5,17.9,396.9,14.15,20.0
0.22927,6.91,0.0,0.448,6,17.9,392.74,18.8,16.6
0.25387,6.91,0.0,0.448,5,17.9,396.9,30.81,14.4
